id,created_at,text
837415873245769728,2017-03-02 21:34:37,b'RT @preciosa304: Ich habe \xc3\xbcbrigens eine neue Freundin: sie hei\xc3\x9ft #Alexa und macht Dinge f\xc3\xbcr mich. #Amazon #AmazonEcho #EchoDot #WhatDoesThe\xe2\x80\xa6'
837414873831190530,2017-03-02 21:30:38,"b'RT @thedavedev: Amazon\xe2\x80\x99s Alexa smart assistant reaches 10,000 skills, up from just 1K in June | Geekwire https://t.co/R2KCETXFtL #AmazonEch\xe2\x80\xa6'"
837411155631013888,2017-03-02 21:15:52,b'@sqlagentman @amazonecho surely a reference to The Spinal Tap.... if 11 is maximum level'
837410552670486528,2017-03-02 21:13:28,b'@vestergaardj my @amazonecho goes to 11.'
837407348863954945,2017-03-02 21:00:44,"b""@bstein84 @kaimac @amazonecho create and film a @chrissyteigen alexa project in @sayspring and I bet you'd get a response :)"""
837407204009455625,2017-03-02 21:00:10,"b""RT @InsideAmazon: Want to set up Alexa's skill for The Tonight Show? Jimmy Fallon can help: https://t.co/QW7ecVI2Fg #AmazonEcho #InsideAmaz\xe2\x80\xa6"""
837406918691983360,2017-03-02 20:59:02,"b""Want to set up Alexa's skill for The Tonight Show? Jimmy Fallon can help: https://t.co/QW7ecVI2Fg #AmazonEcho\xe2\x80\xa6 https://t.co/7VJbm2LW0K"""
837406741855895553,2017-03-02 20:58:20,"b'RT @thedavedev: Amazon\xe2\x80\x99s Alexa smart assistant reaches 10,000 skills, up from just 1K in June | Geekwire https://t.co/R2KCETXFtL #AmazonEch\xe2\x80\xa6'"
837406568970862593,2017-03-02 20:57:38,"b""RT @NETGEAR: ICYMI: #Orbi and #Nighthawk now supports @amazon's Alexa! https://t.co/g0RcVdoY6U \n\n#AmazonEcho https://t.co/BpZtHMlfR7"""
837404987495964672,2017-03-02 20:51:21,b'Und wieder einmal: #AmazonEcho kann mich sowas von am A\xe2\x80\xa6.lecken.\n\n\xf0\x9f\x98\xa1\n\n#gntm'
837404835930599426,2017-03-02 20:50:45,"b'@markcwebster @kaimac @amazonecho ""Alexa, make @chrissyteigen follow me on Twitter.""'"
837403374001717248,2017-03-02 20:44:57,b'Stop by our booth #310 SAPinsider 2017 to enter to win an Amazon Echo Dot! #amazonecho #amazondot #amazon'
837402955817054208,2017-03-02 20:43:17,b'@amazonecho is the Amazon Tap update available for all users? My tap is not updating although I hard restarted it several times'
837399591796502528,2017-03-02 20:29:55,b'Hey @pocketcasts. Absolutely love your app! You know what would be cool? An @amazonecho Alexa skill! Any plans about voice control?'
837397336816939009,2017-03-02 20:20:57,b'What Amazon Echo tells us about the future of enterprise IT #Tech #EnterpriseIT #enterprise.nxt #AmazonEcho\xe2\x80\xa6 https://t.co/HxKHVxvYcx'
837392642052927488,2017-03-02 20:02:18,b'Das ist seit ca. einer Woche bei mir in Betrieb. Funktioniert gro\xc3\x9fartig. Herrlich. Danke @amazonecho &amp; @Todoist_DE https://t.co/gDLIEjjpr0'
837389987163275271,2017-03-02 19:51:45,b'RT @lovemyecho: #Amazongeddon II - how to check #Amazon server status / #Alexa service status https://t.co/visOdKnmAa #AmazonEcho #EchoDot\xe2\x80\xa6'
837387675871084544,2017-03-02 19:42:34,"b""This is incredible. Alexa whose turn is it to make tea? Bad luck @RT_Green  you're making tea for me &amp;\xe2\x80\xa6 https://t.co/et7atkDdm0"""
837387393585930240,2017-03-02 19:41:27,b'Would be frustrating having an #AmazonEcho and someone in the house named Alexa'
837385968424452100,2017-03-02 19:35:47,b'RT @BringITOnNI: Follow @BringITOnNI and retweet this post for your chance to win an @amazonecho #bringiton https://t.co/XdgamIxl0O'
837384961820934146,2017-03-02 19:31:47,b'RT @Maplin_MSF: Turn your home into a #SmartHome with #Philipshue #Hive #Lightwave &amp; control them with the #AmazonEcho #askmaplin https://t\xe2\x80\xa6'
837383903304421376,2017-03-02 19:27:35,b'RT @AlquistAI: This is one of the abilities which #Alquist knows already. And it will be even better. #AI #alexa #machinelearning #chatbots\xe2\x80\xa6'
837383900875862016,2017-03-02 19:27:34,b'Alexa - find Chuck Norris #alexa #AmazonEcho #AI https://t.co/GCBXB1Wt6l https://t.co/ijRO7diPXi'
837382826882383872,2017-03-02 19:23:18,b'Have an @AmazonEcho? Become a part of a story with just your voice with #MCAlum @Ear_Play: https://t.co/Wfr2lHLZOh via @Xconomy'
837382363181105152,2017-03-02 19:21:27,b'Anybody have any @amazonecho skill suggestions??\xf0\x9f\x98\x8a https://t.co/Dqp1vPAvSf'
